Years,CANumbers,SFNumbers,SVNumbers,CAEarly,SFEarly,SVEarly
1998,951,60,308,67,15,29
1999,1374,211,485,149,33,62
2000,1206,137,418,111,18,53
2001,1051,134,283,52,11,17
2002,1020,127,318,55,6,25
2003,1012,145,324,79,16,31
2004,1172,168,363,96,18,40
2005,1324,210,397,140,23,56
2006,1551,276,456,198,44,80
2007,1878,369,493,267,70,92
2008,2049,459,534,292,76,96
2009,2437,578,586,336,95,95
2010,2976,751,748,592,186,180
2011,3273,909,829,798,266,228
2012,3824,1117,952,993,348,293
2013,4107,1308,961,1164,419,306
2014,4185,1265,1023,1409,489,381
2015,3782,1211,897,1420,528,374
2016,2949,934,726,1294,506,306
2017,2495,789,594,1129,440,265
2018,1495,532,344,739,297,164
2019,650,257,130,208,99,45
